customer_id,age,annual_income,spending_score,tenure_months,purchase_frequency,avg_order_value,product_category_preference,region,online_activity_score,loyalty_member
SEG0001,23,69952.22,61,1,3.8,157.75,Electronics,East,9,Yes
SEG0002,30,43946.07,91,23,3.7,65.76,Electronics,West,69,Yes
SEG0003,59,91362.15,77,32,7.0,151.65,Home,,39,Yes
SEG0004,47,38542.28,33,12,5.8,24.49,Electronics,West,22,No
SEG0005,18,39402.21,75,22,5.2,121.15,Sports,East,40,Yes
SEG0006,38,70712.91,49,23,1.2,95.51,Home,North,64,No
SEG0007,45,92286.58,26,7,9.4,64.67,Fashion,South,58,No
SEG0008,46,84398.01,82,42,6.3,99.75,Home,East,54,Yes
SEG0009,38,28127.22,86,40,5.3,86.14,Fashion,South,34,Yes
SEG0010,37,32593.49,80,35,9.6,121.43,Electronics,West,54,No
SEG0011,30,49731.47,36,1,8.2,68.82,Electronics,West,91,Yes
SEG0012,43,26319.39,42,29,0.5,67.37,Electronics,North,64,Yes
SEG0013,47,29187.66,58,47,4.4,134.18,Home,,36,Yes
SEG0014,20,43169.92,77,64,8.6,89.93,Electronics,North,58,No
SEG0015,34,52614.56,58,1,6.2,33.99,Electronics,South,49,No
SEG0016,48,58035.42,30,23,3.3,86.04,Fashion,North,29,No
SEG0017,31,42062.05,57,39,9.1,84.73,Home,West,74,Yes
SEG0018,40,39144.81,75,45,,107.21,Sports,West,42,No
SEG0019,28,84507.46,88,19,3.2,99.95,Home,West,83,Yes
SEG0020,38,53699.85,58,53,6.3,84.09,Electronics,East,37,No
SEG0021,23,55022.96,67,16,8.5,89.56,Home,West,58,No
SEG0022,32,27638.87,63,11,8.7,93.95,Fashion,East,58,No
SEG0023,23,50647.83,38,27,6.2,150.93,Electronics,West,64,No
SEG0024,28,18000.0,69,18,8.5,44.13,Sports,West,56,Yes
SEG0025,31,59048.52,58,25,5.7,90.21,Sports,West,61,Yes
SEG0026,18,48231.38,47,25,4.9,96.19,Sports,West,65,No
SEG0027,34,48280.08,53,9,5.0,105.59,Home,North,69,Yes
SEG0028,41,83294.71,44,3,35.0,98.11,Fashion,North,63,No
SEG0029,26,52065.61,27,16,4.6,81.26,Beauty,East,77,Yes
SEG0030,19,61980.5,6,31,2.5,129.5,Fashion,East,29,Yes
SEG0031,38,44185.0,77,22,6.6,87.43,Home,West,63,Yes
SEG0032,38,47850.1,56,24,4.9,82.67,Electronics,West,75,No
SEG0033,18,58542.02,95,41,3.6,30.7,Beauty,East,72,No
SEG0034,34,53422.66,68,22,5.2,124.96,Electronics,South,57,Yes
SEG0035,33,41496.34,76,19,6.7,105.81,Sports,North,82,Yes
SEG0036,39,30878.82,19,13,8.4,85.15,Home,North,71,No
SEG0037,25,39997.46,27,4,1.6,77.47,Home,South,50,Yes
SEG0038,27,55663.54,37,42,0.5,117.05,Beauty,North,37,Yes
SEG0039,45,36202.96,12,38,9.7,110.8,Home,West,61,Yes
SEG0040,44,66670.2,70,35,4.0,152.08,Fashion,West,54,Yes
SEG0041,38,49724.12,80,38,2.8,119.33,Fashion,South,85,No
SEG0042,33,60460.83,51,1,5.0,49.47,Sports,West,46,No
SEG0043,40,44319.58,16,19,4.7,112.07,electronics,West,55,No
SEG0044,55,59255.71,51,1,8.5,46.64,Electronics,North,67,Yes
SEG0045,45,-5000.0,13,27,5.1,101.83,Fashion,West,37,Yes
SEG0046,53,48382.87,47,13,1.5,104.78,Fashion,North,41,No
SEG0047,18,31690.05,46,38,4.2,120.69,Home,East,38,Yes
SEG0048,35,46457.15,80,34,5.6,92.66,Home,West,73,Yes
SEG0049,47,54431.4,28,38,,108.68,Beauty,North,65,Yes
SEG0050,22,,84,28,4.3,86.45,Electronics,North,55,No
SEG0051,44,72899.23,52,22,0.9,79.51,Sports,East,52,No
SEG0052,37,49194.72,72,11,6.9,135.29,Electronics,North,51,Yes
SEG0053,34,69582.63,16,14,5.3,127.3,Beauty,North,65,No
SEG0054,38,33265.86,26,2,10.2,89.01,Sports,West,71,No
SEG0055,19,82565.06,39,6,4.1,66.68,Electronics,West,60,Yes
SEG0056,51,250000.0,58,29,4.1,57.98,Electronics,East,51,No
SEG0057,44,73599.78,58,1,9.5,106.78,Home,West,81,No
SEG0058,28,52985.72,43,29,7.8,96.6,Electronics,East,31,No
SEG0059,36,29274.21,24,14,4.4,98.95,Beauty,East,61,No
SEG0060,52,42373.23,55,32,4.2,15.0,Electronics,South,49,Yes
SEG0061,45,48911.27,75,32,7.5,118.3,Beauty,North,71,No
SEG0062,51,78270.12,56,22,1.3,18.85,Fashion,East,31,Yes
